"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9522","ISR","SYR","1.40845070422535","1","20131008","2013","33.1259","35.8246","SY","190","19","SY","SY","http://www.debka.com/article/23339/Syrian-tanks-lay-siege-to-key-rebel-held-town-athwart-Damascus-Golan-highway"
"9523","SYR",NA,"-1.57068062827225","2","20150529","2015","33.1259","35.8246","SY","192","19","SY","SY","http://infognomonpolitics.blogspot.com/2015/05/assad-loses-battles-as-us-israel-turkey.html"
"9524","SYR",NA,"-4.48275862068966","8","20150621","2015","33.1259","35.8246","SY","195","19","SY","SY","http://english.farsnews.com/newstext.aspx?nn=13940331001351"
"9525","SYR",NA,"1.50375939849624","2","20141118","2014","33.1259","35.8246","SY","190","19","SY","SY","http://english.farsnews.com/newstext.aspx?nn=13930827001356"
"9526","ISR","SYR","0.64345044169567","12","20121112","2012","33.1259","35.8246","SY","190","19","SY","SY","unspecified"
"9527","SYR",NA,"4.3731778425656","4","20141102","2014","33.1259","35.8246","SY","190","19","SY","SY","http://www.timesofisrael.com/syrian-opposition-coaxing-islamists-away-from-israel-border/"
"9528",NA,NA,"1.64024499129607","19","20140828","2014","33.1259","35.8246","SY","180","18","SY","SY","http://www.jewishjournal.com/world/article/syrian_planes_bomb_border_post_near_israel_that_was_captured_by_rebels"
"9529",NA,NA,"1.85118801754489","4","20140509","2014","33.1259","35.8246","SY","192","19","SY","SY","http://www.globalresearch.ca/obama-in-talks-with-rebel-leader-on-escalating-syrian-war/5381462"
"9530","SYR",NA,"-6.83462773909067","8","20160202","2016","33.1259","35.8246","SY","182","18","SY","SY","http://en.farsnews.com/newstext.aspx?nn=13941113000453"
"9531","SYR",NA,"-4.96894409937888","1","20150220","2015","33.1259","35.8246","SY","190","19","SY","SY","http://www.mintpressnews.com/tensions-in-syria-may-threaten-to-spark-another-israeli-war-on-hezbollah/202276/"
"9532","SYR","SYR","3.67805039787798","16","20120722","2012","32.8875","35.6856","SY","190","19","SY","SY","unspecified"
"9533",NA,"SYR","0","20","20130502","2013","33.2456","35.6928","SY","190","19","SY","SY","http://edition.cnn.com/2013/05/02/world/meast/syria-violence/index.html?eref=edition"
"9534",NA,NA,"5.41409782266119","22","20110422","2011","33.2456","35.6928","SY","193","19","SY","SY","unspecified"
"9535",NA,"SYR","3.55450236966825","1","20110502","2011","33.2456","35.6928","SY","190","19","SY","SY","unspecified"
"9536",NA,"SYR","3.97382083287309","2","20110517","2011","33.2456","35.6928","SY","190","19","SY","SY","unspecified"
"9537",NA,"SYR","1.72910662824208","7","20130505","2013","33.2456","35.6928","SY","193","19","SY","SY","http://www.dailystar.com.lb/News/Middle-East/2013/May-05/216070-commander-of-besieged-syria-airport-killed-activists.ashx"
"9538",NA,NA,"2.90903036541506","38","20110508","2011","33.2456","35.6928","SY","190","19","SY","SY","unspecified"
"9539","SYR",NA,"1.42045454545455","10","20130510","2013","33.2456","35.6928","SY","190","19","SY","SY","http://www.dailystar.com.lb/News/Middle-East/2013/May-10/216636-army-shelling-kills-25-in-syrian-town-after-truce-ends.ashx"
"9540","SYR","SYR","2.70833333333333","2","20110419","2011","33.2456","35.6928","SY","190","19","SY","SY","unspecified"
"9541","ISR","SYR","1.38888888888889","15","20130521","2013","33.0528","35.8672","SY","190","19","SY","SY","http://www.washingtonpost.com/world/middle_east/israeli-syrian-troops-trade-fire-in-golan-heights/2013/05/21/a5a78532-c21d-11e2-8c3b-0b5e9247e8ca_story.html?wprss=rss_world"
"9542","QAT",NA,"2.92887029288703","2","20110422","2011","33.2456","35.6928","SY","190","19","SY","SY","unspecified"
"9543","SYR","SYR","5.32212885154062","2","20110520","2011","32.7359","35.7441","SY","192","19","SY","SY","unspecified"
"9544","SYR",NA,"4.34272300469484","5","20120217","2012","32.7359","35.7441","SY","193","19","SY","SY","unspecified"
"9545","MAR","SYR","3.91404451266309","2","20120410","2012","32.7359","35.7441","SY","190","19","SY","SY","unspecified"
"9546",NA,"TUR","2.45398773006135","6","20130320","2013","32.8875","35.6856","SY","181","18","SY","TU","unspecified"
"9547","SYR",NA,"-2.75027502750275","1","20160105","2016","35.8469","38.5443","SY","190","19","SY",NA,"http://www.washingtoninstitute.org/policy-analysis/view/the-die-is-cast-the-kurds-cross-the-euphrates"
